TRADE | BUY=3 SELL=2 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=89 SELL=88 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=93 SELL=92 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=95 SELL=94 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=97 SELL=96 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=99 SELL=98 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=103 SELL=102 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=105 SELL=104 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=107 SELL=106 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=109 SELL=108 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=113 SELL=112 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=115 SELL=114 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=117 SELL=116 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=119 SELL=118 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=123 SELL=122 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=125 SELL=124 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=127 SELL=126 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=129 SELL=128 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=133 SELL=132 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=135 SELL=134 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=137 SELL=136 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=139 SELL=138 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=143 SELL=142 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=145 SELL=144 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=147 SELL=146 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=149 SELL=148 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=153 SELL=152 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=155 SELL=154 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=157 SELL=156 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=159 SELL=158 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=163 SELL=162 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=165 SELL=164 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=167 SELL=166 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=169 SELL=168 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=173 SELL=172 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=175 SELL=174 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=177 SELL=176 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=179 SELL=178 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=183 SELL=182 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=185 SELL=184 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=187 SELL=186 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=189 SELL=188 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=193 SELL=192 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=195 SELL=194 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=197 SELL=196 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=199 SELL=198 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=203 SELL=202 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=205 SELL=204 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=207 SELL=206 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=209 SELL=208 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=213 SELL=212 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=215 SELL=214 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=217 SELL=216 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=219 SELL=218 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=223 SELL=222 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=225 SELL=224 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=227 SELL=226 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=229 SELL=228 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=233 SELL=232 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=235 SELL=234 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=237 SELL=236 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=239 SELL=238 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=243 SELL=242 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=245 SELL=244 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=247 SELL=246 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=249 SELL=248 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=253 SELL=252 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=255 SELL=254 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=257 SELL=256 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=259 SELL=258 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=263 SELL=262 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=265 SELL=264 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=267 SELL=266 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=269 SELL=268 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=273 SELL=272 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=275 SELL=274 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=277 SELL=276 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=279 SELL=278 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=283 SELL=282 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=285 SELL=284 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=287 SELL=286 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=289 SELL=288 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=293 SELL=292 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=295 SELL=294 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=297 SELL=296 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=299 SELL=298 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=303 SELL=302 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=305 SELL=304 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=307 SELL=306 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=309 SELL=308 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=313 SELL=312 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=315 SELL=314 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=317 SELL=316 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=319 SELL=318 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=323 SELL=322 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=325 SELL=324 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=327 SELL=326 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=329 SELL=328 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=333 SELL=332 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=335 SELL=334 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=337 SELL=336 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=339 SELL=338 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=343 SELL=342 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=345 SELL=344 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=347 SELL=346 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=349 SELL=348 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=353 SELL=352 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=355 SELL=354 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=357 SELL=356 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=359 SELL=358 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=363 SELL=362 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=365 SELL=364 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=367 SELL=366 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=369 SELL=368 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=373 SELL=372 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=375 SELL=374 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=377 SELL=376 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=379 SELL=378 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=383 SELL=382 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=385 SELL=384 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=387 SELL=386 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=389 SELL=388 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=393 SELL=392 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=395 SELL=394 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=397 SELL=396 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=399 SELL=398 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=403 SELL=402 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=405 SELL=404 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=407 SELL=406 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=409 SELL=408 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=413 SELL=412 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=415 SELL=414 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=417 SELL=416 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=419 SELL=418 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=423 SELL=422 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=425 SELL=424 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=427 SELL=426 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=429 SELL=428 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=433 SELL=432 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=435 SELL=434 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=437 SELL=436 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=439 SELL=438 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=443 SELL=442 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=445 SELL=444 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=447 SELL=446 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=449 SELL=448 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=453 SELL=452 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=455 SELL=454 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=457 SELL=456 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=459 SELL=458 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=463 SELL=462 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=465 SELL=464 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=467 SELL=466 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=469 SELL=468 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=473 SELL=472 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=475 SELL=474 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=477 SELL=476 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=479 SELL=478 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=483 SELL=482 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=485 SELL=484 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=487 SELL=486 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=489 SELL=488 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=493 SELL=492 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=495 SELL=494 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=497 SELL=496 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=499 SELL=498 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=503 SELL=502 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=505 SELL=504 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=507 SELL=506 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=509 SELL=508 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=513 SELL=512 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=515 SELL=514 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=517 SELL=516 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=519 SELL=518 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=523 SELL=522 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=525 SELL=524 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=527 SELL=526 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=529 SELL=528 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=533 SELL=532 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=535 SELL=534 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=537 SELL=536 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=539 SELL=538 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=543 SELL=542 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=545 SELL=544 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=547 SELL=546 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=549 SELL=548 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=553 SELL=552 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=555 SELL=554 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=557 SELL=556 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=559 SELL=558 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=563 SELL=562 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=565 SELL=564 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=567 SELL=566 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=569 SELL=568 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=573 SELL=572 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=575 SELL=574 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=577 SELL=576 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=579 SELL=578 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=583 SELL=582 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=585 SELL=584 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=587 SELL=586 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=589 SELL=588 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=593 SELL=592 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=595 SELL=594 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=597 SELL=596 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=599 SELL=598 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=603 SELL=602 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=605 SELL=604 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=607 SELL=606 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=609 SELL=608 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=613 SELL=612 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=615 SELL=614 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=617 SELL=616 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=619 SELL=618 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=623 SELL=622 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=625 SELL=624 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=627 SELL=626 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=629 SELL=628 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=633 SELL=632 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=635 SELL=634 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=637 SELL=636 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=639 SELL=638 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=643 SELL=642 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=645 SELL=644 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=647 SELL=646 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=649 SELL=648 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=653 SELL=652 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=655 SELL=654 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=657 SELL=656 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=659 SELL=658 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=663 SELL=662 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=665 SELL=664 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=667 SELL=666 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=669 SELL=668 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=673 SELL=672 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=675 SELL=674 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=677 SELL=676 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=679 SELL=678 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=683 SELL=682 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=685 SELL=684 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=687 SELL=686 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=689 SELL=688 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=693 SELL=692 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=695 SELL=694 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=697 SELL=696 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=699 SELL=698 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=703 SELL=702 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=705 SELL=704 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=707 SELL=706 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=709 SELL=708 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=713 SELL=712 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=715 SELL=714 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=717 SELL=716 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=719 SELL=718 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=723 SELL=722 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=725 SELL=724 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=727 SELL=726 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=729 SELL=728 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=733 SELL=732 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=735 SELL=734 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=737 SELL=736 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=739 SELL=738 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=743 SELL=742 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=745 SELL=744 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=747 SELL=746 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=749 SELL=748 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=753 SELL=752 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=755 SELL=754 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=757 SELL=756 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=759 SELL=758 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=763 SELL=762 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=765 SELL=764 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=767 SELL=766 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=769 SELL=768 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=773 SELL=772 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=775 SELL=774 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=777 SELL=776 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=779 SELL=778 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=783 SELL=782 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=785 SELL=784 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=787 SELL=786 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=789 SELL=788 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=793 SELL=792 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=795 SELL=794 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=797 SELL=796 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=799 SELL=798 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=803 SELL=802 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=805 SELL=804 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=807 SELL=806 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=809 SELL=808 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=813 SELL=812 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=815 SELL=814 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=817 SELL=816 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=819 SELL=818 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=823 SELL=822 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=825 SELL=824 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=827 SELL=826 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=829 SELL=828 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=833 SELL=832 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=835 SELL=834 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=837 SELL=836 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=839 SELL=838 SYMBOL=AAPL PRICE=107 QTY=10
TRADE | BUY=843 SELL=842 SYMBOL=AAPL PRICE=101 QTY=10
TRADE | BUY=845 SELL=844 SYMBOL=AAPL PRICE=103 QTY=10
TRADE | BUY=847 SELL=846 SYMBOL=AAPL PRICE=105 QTY=10
TRADE | BUY=849 SELL=848 SYMBOL=AAPL PRICE=107 QTY=10
